rank,model,integrated_score,benchmark_score,benchmark_norm,speed_norm,ttft_s,tps,speed_rank,top_provider,match_source,n_benchmarks
62,deepseek-v3p2-thinking,12.3779,6.3467,9.7073,17.8401,1.8,42.0,31.0,deepseek,explicit,5
63,claude-sonnet-4-20250514-thinking,12.3001,6.3705,9.7452,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,2
64,gemini-2.5-flash,12.2567,0.5629,0.5,38.5762,1.4915,83.45,22.0,hapuppy,explicit,1
65,qwen3.6-max-preview,12.1347,11.0029,17.121,0.5,,,,,no_match,2
66,grok-code-fast-1,11.5719,10.4979,16.317,0.5,,,,,no_match,2
67,deepseek-r1,11.3639,5.4539,8.2858,17.8401,1.8,42.0,31.0,deepseek,explicit,1
68,glm-5-thinking,11.2919,10.2467,15.917,0.5,,,,,no_match,5
69,gpt-4.1,10.417,9.4617,14.6671,0.5,,,,,no_match,1
70,claude-opus-4-1,10.181,9.25,14.33,0.5,,,,,fuzzy_rejected(gap),2
71,grok-4-0709,9.7289,6.2428,9.5419,9.844,1.334,20.33,40.0,blazeai,explicit,4
72,qwen3.5-flash,9.7099,8.8273,13.657,0.5,,,,,no_match,3
73,claude-3-7-sonnet-20250219-thinking,9.078,3.5307,5.2236,17.5365,0.1163,22.99,32.0,cursor-proxy,explicit,1
74,grok-4-1-fast-reasoning,8.9417,5.5435,8.4284,9.844,1.334,20.33,40.0,blazeai,explicit,3
75,qwen3.5-plus-thinking,8.0962,7.3795,11.3518,0.5,,,,,fuzzy_rejected(gap),4
76,deepseek-v3p1,7.0337,0.25,0.5,21.8194,0.888,39.04,30.0,ollama-cloud,explicit,1
77,gemma-4-31b-it,6.9176,6.322,9.668,0.5,,,,,no_match,1
78,glm-4.6,6.6614,3.8575,5.744,8.6039,1.48,18.55,41.0,ollama-cloud,fuzzy(86),3
79,moonshotai/kimi-k2-instruct,5.7017,5.2311,7.931,0.5,,,,,fuzzy_rejected(gap),3
80,qwen3-max,5.6939,5.2241,7.9199,0.5,,,,,no_match,3
81,grok-3-mini-fast-high-reasoning,5.4866,2.4743,3.5416,9.844,1.334,20.33,40.0,blazeai,explicit,1
82,claude-opus-4-20250514-thinking,5.4401,4.9964,7.5573,0.5,,,,,no_match,1
83,magistral-small-2509,5.3252,4.8933,7.3932,0.5,,,,,no_match,1
84,gpt-5-codex,5.1996,4.7806,7.2137,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,2
85,claude-opus-4-1-20250805-thinking,4.9161,4.5262,6.8087,0.5,,,,,no_match,1
86,qwen3-max-preview,3.6962,3.4317,5.066,0.5,,,,,no_match,2
87,gpt-5-nano,3.6184,3.3619,4.9548,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,1
88,grok-4-fast-non-reasoning,3.5296,0.7358,0.7735,9.844,1.334,20.33,40.0,blazeai,explicit,1
89,grok-4-1-fast-non-reasoning,3.3362,0.25,0.5,9.844,1.334,20.33,40.0,blazeai,explicit,1
90,qwen3.6-27b,3.3208,3.0949,4.5297,0.5,,,,,no_match,3
91,glm-4.5,3.2549,0.8284,0.9209,8.6039,1.48,18.55,41.0,ollama-cloud,fuzzy(86),2
92,kimi-k2-thinking,2.8068,2.6337,3.7954,0.5,,,,,no_match,3
93,o1,2.6563,2.4987,3.5804,0.5,,,,,no_match,1
94,gpt-5.1-codex,2.451,2.3145,3.2871,0.5,0.0431,0.25,62.0,cursor-proxy,explicit,3
95,langston/nim/nvidia/llama-3.3-nemotron-super-49b-v1-42e84561-thinking,2.0956,1.9956,2.7794,0.5,,,,,no_match,1
96,magistral-medium-2509,1.9581,1.8723,2.5831,0.5,,,,,no_match,2
97,minimax-m2.5,1.2559,1.2422,1.5798,0.5,,,,,fuzzy_rejected(gap),1
98,qwen3-235b-a22b,0.7935,0.8274,0.9194,0.5,,,,,no_match,2
99,mistral-medium-3.5,0.6412,0.6907,0.7017,0.5,,,,,no_match,1
100,labs-devstral-small-2512,0.5,0.25,0.5,0.5,,,,,no_match,1
